id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/3177497	10.2307/3177497	Challenging "Woman's Place": Feminism, the Left, and Industrial Unionism in the 1930s	Sharon Hartman Strom	Feminist Studies	9	2	1983-07-01T00:00:00Z	pp. 359-386	Feminist Studies, Inc.	fla			
10.2307/20153424	10.2307/20153424	The Triumph of the Prague Workers' Councils	Eugene Stein	The Iowa Review	23	2	1993-04-01T00:00:00Z	pp. 139-153	University of Iowa	fla			
10.2307/23010514	10.2307/23010514	The Rise and Fall of Yiddish	ILAN STAVANS	Agni		52	2000-01-01T00:00:00Z	pp. 45-78	Agni	fla			
10.2307/41205874	10.2307/41205874	GOD, ASCH AND VENGEANCE	Stuart E. Knee	Studies in American Jewish Literature (1981-)	16		1997-01-01T00:00:00Z	pp. 61-73	Penn State University Press	fla			
10.2307/4337336	10.2307/4337336	Midlife Heroines, "Older and Freer"	Margaret Morganroth Gullette	The Kenyon Review	18	2	1996-04-01T00:00:00Z	pp. 10-31	Kenyon College	fla			
10.2307/25771051	10.2307/25771051	women's liberation testimony		Off Our Backs	1	5	1970-05-16T00:00:00Z	p. 7	off our backs, inc.	fla			
10.2307/40358615	10.2307/40358615	Exile's Return	Maggie Jaffe	Bridges	6	2	1997-04-01T00:00:00Z	p. 109	Bridges Association	fla			
10.2307/41401674	10.2307/41401674	The Lake	Albert Goldbarth	The Georgia Review	50	2	1996-07-01T00:00:00Z	pp. 360-379	Board of Regents of the University System of Georgia by and on Behalf of the University of Georgia and the Georgia Review	fla			
10.2307/1228985	10.2307/1228985	The Free Speech League, the ACLU, and Changing Conceptions of Free Speech in American History	David M. Rabban	Stanford Law Review	45	1	1992-11-01T00:00:00Z	pp. 47-114	Stanford Law Review	fla			
10.2307/27638528	10.2307/27638528	Martyrdom Contracts	Mario Ferrero	The Journal of Conflict Resolution	50	6	2006-12-01T00:00:00Z	pp. 855-877	Sage Publications, Inc.	fla		This article emphasizes the similarities between such diverse instances of public-spirited suicide as the Islamic martyrs of yesterday and today, the anarchists, the Japanese kamikaze of World War II, the Tamil Tigers of Sri Lanka, and the Christian martyrs under the Roman Empire. It tries to accommodate this disparate evidence within a single two-period, expected utility model of a martyrdom contract, to which volunteers sign up in the expectation of probabilistic earthly rewards. Contract enforcement is ensured by a sufficiently strong stigma, or social sanction, placed on renegades. The main implication for counterterrorism policy is that the sanction should be softened, so as to turn prospective martyrs into apostates.	
10.2307/1499348	10.2307/1499348	Folk Music and Social Conscience: The Musical Odyssey of Charles Seeger	Richard A. Reuss	Western Folklore	38	4	1979-10-01T00:00:00Z	pp. 221-238	Western States Folklore Society	fla			
10.2307/3342677	10.2307/3342677	Science and Social Reform: Women in Public Health	Elizabeth Fee, Barbara Greene	Journal of Public Health Policy	10	2	1989-07-01T00:00:00Z	pp. 161-177	Palgrave Macmillan Journals	fla		This paper examines the historical role of women in public health, and argues that the recent trend of larger numbers of women entering schools of public health is not so much a new phenomenon as a recovery of some of the traditions of the progressive era. Public health was then seen as compatible with the ideology of womanhood, a legitimate way for middle-class women to participate in public life. Women physicians, nurses, and scientists were prominent in the early public health movement, in such areas as maternal and child health, statistics, bacteriology, and occupational health. This paper highlights the contributions of some of the women involved in public health research and practice. It concludes by noting that the motivations of many women students in schools of public health today are similar to those expressed by the social reformers and scientists of the progressive era.	
10.2307/20834399	10.2307/20834399	other news	erika m., laura b.	Off Our Backs	23	4	1993-04-01T00:00:00Z	p. 9	off our backs, inc.	fla			
10.2307/41177972	10.2307/41177972	JOHN BROWN, WEATHERMEN, AND THE PSYCHOLOGY OF ANTINOMIAN VIOLENCE	BERTRAM WYATT-BROWN	Soundings: An Interdisciplinary Journal	58	4	1975-12-01T00:00:00Z	pp. 417-440	Penn State University Press	fla			
10.2307/27502779	10.2307/27502779	Naturalization and United States Citizenship in Two Periods of Mass Migration: 1894-1930, 1965-2000	Dorothee Schneider	Journal of American Ethnic History	21	1	2001-10-01T00:00:00Z	pp. 50-82	Immigration & Ethnic History Society, University of Illinois Press	fla			
10.2307/25553764	10.2307/25553764	A Hyena in Petticoats	Jean McCrindle, Fiona MacMillan	Fortnight		312	1992-12-01T00:00:00Z	p. 36	Fortnight Publications Ltd.	fla			
10.5325/utopianstudies.23.1.0263	10.5325/utopianstudies.23.1.0263	Revolutionary Bodies in Chuck Palahniuk's <i>Fight Club</i>	Olivia Burgess	Utopian Studies	23	1	2012-04-01T00:00:00Z	pp. 263-280	Penn State University Press	fla		What is potent and compelling about utopia has shifted, quite decisively, away from the social blueprint model and toward a more open-ended exploration of desire and change. Fight Club is a significant marker in the development of a utopianism that is dynamic and adaptive, existing in the present of history rather than in a vacuum of idealism. Building on theories of revolution proffered by Slavoj Žižek and Frederic Jameson, I argue that within the novel the body becomes a potential site for exploring difference and creates both an alternative to and a critique of the distorted narrative of dominant society. Bodies that are marked, wounded, scarred, and beaten are bodies in the process of exploring alternatives to an oppressive social world where “completeness” trumps difference. Fight club allows men to fiercely embody revolution and desire and rejuvenate utopia with every punch. I distinguish between the dynamic and subversive nature of fight club and the militaristic and fascist system of Project Mayhem, which displays the values of traditional utopian thinking and as such fails to maintain the liberating and transgressive qualities of fight club.	
10.2307/4467547	10.2307/4467547	Yentl	Stephen J. Whitfield	Jewish Social Studies	5	1/2	1998-10-01T00:00:00Z	pp. 154-176	Indiana University Press	fla			
10.2307/2931449	10.2307/2931449	When The World Was October	Frank B. Wilderson, III	Callaloo	14	1	1991-01-01T00:00:00Z	pp. 181-188	The Johns Hopkins University Press	fla			
10.2307/3704437	10.2307/3704437	Images of Alice: Gender, Deviancy, and a Love Murder in Memphis	Lisa J. Lindquist	Journal of the History of Sexuality	6	1	1995-07-01T00:00:00Z	pp. 30-61	University of Texas Press	fla			
10.2307/23240310	10.2307/23240310	Death Comes to the Broadway Musical	Charlotte Greenspan	Daedalus	141	1	2012-01-01T00:00:00Z	pp. 154-159	American Academy of Arts & Sciences, The MIT Press	fla		The Broadway musical is an excellent prism for viewing the narrative of American life — as it is, has been, and perhaps should be. In the first part of the twentieth century, musicals viewed life through rose-colored glasses; musicals were equivalent to musical comedy. Starting in the 1940s, the mood of musicals darkened. One indication of the new, serious tone was that characters in musicals died in the course of the show. This essay examines several questions relating to death in the Broadway musical, such as who dies, when in the course of the drama the death occurs, and how the death is marked musically. It concludes with a look at musicals involving the deaths of historical characters and at AIDS-related musicals, works whose assumptions and ideals are very far from those of the musical comedies of the early twentieth century.	
10.2307/1073625	10.2307/1073625	The IWW Free Speech Fights and Popular Conceptions of Free Expression before World War I	David M. Rabban	Virginia Law Review	80	5	1994-08-01T00:00:00Z	pp. 1055-1158	Virginia Law Review	fla			
10.2307/27654055	10.2307/27654055	Unnatural Lotteries and Diversity in Philosophy	Claudia Card	Proceedings and Addresses of the American Philosophical Association	82	2	2008-11-01T00:00:00Z	pp. 85-99	American Philosophical Association	fla			
10.2307/3347347	10.2307/3347347	Transborder Discourse: The Articulation of Gender in the Borderlands in the Early Twentieth Century	Clara Lomas	Frontiers: A Journal of Women Studies	24	2/3	2003-01-01T00:00:00Z	pp. 51-74	University of Nebraska Press	fla			
10.2307/25147414	10.2307/25147414	"Between a Rock and a Hard Place: A History of American Sweatshops, 1820: Present", at the National Museum of American History	Mary Alexander	Technology and Culture	40	4	1999-10-01T00:00:00Z	pp. 861-865	The Johns Hopkins University Press, Society for the History of Technology	fla			
10.2307/23327231	10.2307/23327231	Changing Attitudes of Presbyterians Toward Southern and Eastern European Immigrants, 1880—1914	Paula K. Benkart	Journal of Presbyterian History (1962-1985)	49	3	1971-10-01T00:00:00Z	pp. 222-245	Presbyterian Historical Society	fla			
10.2307/29765919	10.2307/29765919	PROSTITUTION IN AMERICA	MIMI GOLDMAN	Crime and Social Justice		2	1974-10-01T00:00:00Z	pp. 90-93	Social Justice/Global Options	fla			
10.2307/23009147	10.2307/23009147	Amnesty International: Myth and Reality	LINDA RABBEN	Agni		54	2001-01-01T00:00:00Z	pp. 8-28	Agni	fla			
10.2307/20835543	10.2307/20835543	special feature: Contract with Women of the USA		Off Our Backs	26	7	1996-07-01T00:00:00Z	pp. 9-11	off our backs, inc.	fla			
10.2307/40638879	10.2307/40638879	The Mystical Hiring Committee of Life	Amy Hoffman	Prairie Schooner	81	2	2007-07-01T00:00:00Z	pp. 166-179	University of Nebraska Press	fla			
10.2307/20188048	10.2307/20188048	"The Germans Would Court Martial Me, Too": St. Paul's World War I Socialist Draft Resisters	William R. Douglas	Minnesota History	55	7	1997-10-01T00:00:00Z	pp. 286-301	Minnesota Historical Society Press	fla			
10.2307/20873587	10.2307/20873587	Conrad among the Anarchists: Documents on Martial Bourdin and the Greenwich Bombing	Mary Burgoyne	The Conradian	32	1	2007-04-01T00:00:00Z	pp. 147-185, i-ii	Joseph Conrad Society UK	fla			
10.2307/25783613	10.2307/25783613	growth of feminism	Fannie Lou Hamer	Off Our Backs	3	9	1973-07-01T00:00:00Z	pp. 2-3	off our backs, inc.	fla			
10.2307/20452663	10.2307/20452663	Discourses of Danger: Locating Emma Goldman	Kathy E. Ferguson	Political Theory	36	5	2008-10-01T00:00:00Z	pp. 735-761	Sage Publications, Inc.	fla		Government, media, and medical accounts of Emma Goldman converged to create her public presence in the U.S. as a "dangerous individual." The prevailing discourses constituted Goldman as violent, utilizing her alleged menace to distract attention from far more egregious violence against labor by state and corporate forces. Goldman responded by denying, confronting, and redirecting the alarmed gaze toward greater risks left underarticulated in hegemonic accounts. Goldman's bold confrontations with authorities constituted a kind of anarchist parrhesia, fearless speech, a relentless truth-telling practice that risked her own security in pursuit of her "beautiful ideal." The labor of remembering America's history of class violence hones our attention to the complex discursive processes by which some historical facts come to count in prevailing narratives, while others fade into obscurity.	
10.2307/40204467	10.2307/40204467	Learning from History: Why We Need Dissent and Dissidents	Barbara J. Falk	International Journal	64	1	2008-12-01T00:00:00Z	pp. 243-253	Canadian International Council	fla			
10.2307/2081156	10.2307/2081156	Introduction	Alberto Herrera, Jr.	The Journal of American History	81	1	1994-06-01T00:00:00Z	p. 358	Organization of American Historians	fla			
10.2979/indjglolegstu.19.1.169	10.2979/indjglolegstu.19.1.169	Global Anti-Anarchism: The Origins of Ideological Deportation and the Suppression of Expression	Julia Rose Kraut	Indiana Journal of Global Legal Studies	19	1	2012-01-01T00:00:00Z	pp. 169-193	Indiana University Press	fla		Abstract   On September 6, 1901, a self-proclaimed anarchist named Leon Czolgosz fatally shot President William McKinley at the Pan-American Exposition in Buffalo, New York. This paper places the suppression of anarchists and the exclusion and deportation of foreigners in the aftermath of the “shot that shocked the world” within the context of international anti-anarchist efforts, and reveals that President McKinley's assassination successfully pulled the United States into an existing global conversation over how to combat anarchist violence. This paper argues that these anti-anarchist restrictions and the suppression of expression led to the emergence of a “free speech consciousness” among anarchists, and others, and to the formation of the Free Speech League, predecessor of the American Civil Liberties Union (ACLU). Challenging governmental suppression transformed anarchists' identities from violent criminals to free speech defenders. This paper also explores the history, passage, and implementation of the Alien Immigration Act of 1903, which barred and expelled anarchists, those associated with anarchists, and those advocating anarchism, and became the first federal law authorizing the exclusion or deportation of foreigners based on their ideological beliefs, associations, and/or expressions. In United States ex rel. Turner v. Williams (1904), the Supreme Court affirmed the deportation of British philosophical anarchist John Turner and upheld the Alien Act's constitutionality, establishing the precedent for future ideological restrictions of foreigners. This legal precedent paved the way for the mass deportations of radicals after the 1919 Palmer Raids, the exclusion of alleged communist writers, actors, and professors under the McCarran Act of 1950 and the McCarran-Walter Act of 1952, and eventually for a visa denial barring entry to an Islamic scholar under the Patriot Act of 2001.	
